DigiPyRo Run Details 
 
Original File: movie.avi
Output File: movie-rot.avi
Date of run: Thu 18 Jun 2020 04:05:39 PM PDT
 
Original rotation of camera: 0.0 RPM
Added digital rotation: 10.0 RPM
Curvature of surface: 0.0 RPM

Particle Tracking Data in  and /s
t x y r theta u_x u_y u_r u_theta ||u||
0.03 215.50 80.50 230.04 0.36 -8730.00 300.00 -3365.60 57.26 8735.15
0.07 -75.50 90.50 117.86 2.27 -135.00 -270.00 -214.40 -0.95 301.87
0.10 206.50 62.50 215.75 0.29 4125.00 -555.00 1330.37 -30.06 4162.17
0.13 199.50 53.50 206.55 0.26 -1980.00 255.00 -1601.99 7.86 1996.35
0.17 74.50 79.50 108.95 0.82 -1440.00 2475.00 528.37 13.00 2863.43
0.20 103.50 218.50 241.77 1.13 390.00 1995.00 1891.73 4.67 2032.76
0.23 100.50 212.50 235.07 1.13 -90.00 -150.00 -174.05 0.07 174.93
0.27 97.50 208.50 230.17 1.13 -105.00 -135.00 -166.73 0.17 171.03
0.30 93.50 203.50 223.95 1.14 -120.00 -150.00 -186.40 0.21 192.09
0.33 89.50 198.50 217.74 1.15 -135.00 -120.00 -164.58 0.34 180.62
0.37 84.50 195.50 212.98 1.16 -135.00 -120.00 -164.01 0.36 180.62
0.40 80.50 190.50 206.81 1.17 -135.00 -120.00 -162.75 0.38 180.62
0.43 75.50 187.50 202.13 1.19 -150.00 -90.00 -139.49 0.52 174.93
0.47 70.50 184.50 197.51 1.21 -150.00 -90.00 -137.59 0.55 174.93
0.50 65.50 181.50 192.96 1.22 -150.00 -90.00 -135.55 0.57 174.93
0.53 60.50 178.50 188.47 1.24 -150.00 -75.00 -119.05 0.63 167.71
0.57 55.50 176.50 185.02 1.27 -195.00 -30.00 -85.41 0.96 197.29
0.60 47.50 176.50 182.78 1.31 -180.00 -45.00 -92.25 0.89 185.54
0.63 43.50 173.50 178.87 1.33 -165.00 -60.00 -96.91 0.82 175.57
0.67 36.50 172.50 176.32 1.36 -180.00 -15.00 -52.76 0.98 180.62
0.70 31.50 172.50 175.35 1.39 -165.00 0.00 -29.17 0.93 165.00
0.73 25.50 172.50 174.37 1.42 -180.00 0.00 -26.31 1.02 180.00
0.77 19.50 172.50 173.60 1.46 -180.00 15.00 -5.25 1.04 180.62
0.80 13.50 173.50 174.02 1.49 -180.00 30.00 15.94 1.04 182.48
0.83 7.50 174.50 174.66 1.53 -165.00 30.00 22.40 0.95 167.71
0.87 2.50 175.50 175.52 1.56 -165.00 60.00 58.10 0.94 175.57
0.90 -3.50 178.50 178.53 1.59 -165.00 75.00 77.73 0.92 181.25
0.93 -8.50 180.50 180.70 1.62 -165.00 75.00 83.07 0.89 181.25
0.97 -14.50 183.50 184.07 1.65 -165.00 75.00 87.33 0.87 181.25
1.00 -19.50 185.50 186.52 1.68 -135.00 90.00 103.19 0.67 162.25
1.03 -23.50 189.50 190.95 1.69 -150.00 120.00 138.21 0.70 192.09
1.07 -29.50 193.50 195.74 1.72 -150.00 105.00 125.75 0.68 183.10
1.10 -33.50 196.50 199.34 1.74 -120.00 120.00 138.36 0.49 169.71
1.13 -37.50 201.50 204.96 1.75 -120.00 135.00 154.70 0.46 180.62
1.17 -41.50 205.50 209.65 1.77 -120.00 150.00 170.69 0.42 192.09
1.20 -45.50 211.50 216.34 1.78 -105.00 165.00 183.26 0.32 195.58
1.23 -48.50 216.50 221.87 1.79 -75.00 165.00 177.30 0.17 181.25
1.27 -50.50 222.50 228.16 1.79 -75.00 150.00 163.00 0.17 167.71
1.30 -53.50 226.50 232.73 1.80 -60.00 150.00 159.65 0.11 161.55
1.33 -54.50 232.50 238.80 1.80 -45.00 180.00 185.52 0.01 185.54
1.37 -56.50 238.50 245.10 1.80 -45.00 180.00 185.52 0.01 185.54
1.40 -57.50 244.50 251.17 1.80 -30.00 180.00 182.09 -0.05 182.48
1.43 -58.50 250.50 257.24 1.80 -30.00 195.00 196.72 -0.06 197.29
1.47 -59.50 257.50 264.28 1.80 -15.00 180.00 178.78 -0.10 180.62
1.50 -59.50 262.50 269.16 1.79 15.00 180.00 172.37 -0.20 180.62
1.53 -58.50 269.50 275.78 1.78 30.00 195.00 184.16 -0.26 197.29
1.57 -57.50 275.50 281.44 1.78 30.00 165.00 155.36 -0.22 167.71
1.60 -56.50 280.50 286.13 1.77 45.00 165.00 153.02 -0.27 171.03
1.63 -54.50 286.50 291.64 1.76 60.00 180.00 165.61 -0.32 189.74
1.67 -52.50 292.50 297.17 1.75 75.00 165.00 149.29 -0.35 181.25
1.70 -49.50 297.50 301.59 1.74 75.00 150.00 135.49 -0.33 167.71
1.73 -47.50 302.50 306.21 1.73 75.00 150.00 136.70 -0.32 167.71
1.77 -44.50 307.50 310.70 1.71 105.00 150.00 133.60 -0.40 183.10
1.80 -40.50 312.50 315.11 1.70 120.00 150.00 133.32 -0.44 192.09
1.83 -36.50 317.50 319.59 1.69 120.00 150.00 135.30 -0.43 192.09
1.87 -32.50 322.50 324.13 1.67 135.00 120.00 106.03 -0.45 180.62
1.90 -27.50 325.50 326.66 1.66 135.00 90.00 78.09 -0.44 162.25
1.93 -23.50 328.50 329.34 1.64 135.00 105.00 95.32 -0.43 171.03
1.97 -18.50 332.50 333.01 1.63 165.00 105.00 95.90 -0.51 195.58
2.00 -12.50 335.50 335.73 1.61 165.00 75.00 68.54 -0.50 181.25
2.03 -7.50 337.50 337.58 1.59 150.00 75.00 71.65 -0.45 167.71
2.07 -2.50 340.50 340.51 1.58 165.00 75.00 74.02 -0.49 181.25
2.10 3.50 342.50 342.52 1.56 180.00 45.00 46.83 -0.52 185.54
2.13 9.50 343.50 343.63 1.54 180.00 45.00 49.94 -0.52 185.54
2.17 15.50 345.50 345.85 1.53 180.00 30.00 38.05 -0.52 182.48
2.20 21.50 345.50 346.17 1.51 180.00 0.00 11.18 -0.52 180.00
2.23 27.50 345.50 346.59 1.49 180.00 0.00 14.28 -0.52 180.00
2.27 33.50 345.50 347.12 1.47 180.00 -15.00 2.47 -0.52 180.62
2.30 39.50 344.50 346.76 1.46 180.00 -15.00 5.57 -0.52 180.62
2.33 45.50 344.50 347.49 1.44 165.00 -30.00 -8.31 -0.48 167.71
2.37 50.50 342.50 346.20 1.42 165.00 -60.00 -35.04 -0.50 175.57
2.40 56.50 340.50 345.16 1.41 180.00 -60.00 -29.72 -0.54 189.74
2.43 62.50 338.50 344.22 1.39 165.00 -60.00 -29.29 -0.50 175.57
2.47 67.50 336.50 343.20 1.37 150.00 -90.00 -58.64 -0.48 174.93
2.50 72.50 332.50 340.31 1.36 150.00 -105.00 -70.68 -0.50 183.10
2.53 77.50 329.50 338.49 1.34 135.00 -105.00 -71.46 -0.46 171.03
2.57 81.50 325.50 335.55 1.33 150.00 -120.00 -79.46 -0.52 192.09
2.60 87.50 321.50 333.19 1.31 150.00 -120.00 -76.90 -0.53 192.09
2.63 91.50 317.50 330.42 1.29 105.00 -135.00 -100.78 -0.42 171.03
2.67 94.50 312.50 326.48 1.28 90.00 -135.00 -103.22 -0.38 162.25
2.70 97.50 308.50 323.54 1.26 105.00 -135.00 -96.80 -0.44 171.03
2.73 101.50 303.50 320.02 1.25 105.00 -150.00 -109.16 -0.46 183.10
2.77 104.50 298.50 316.26 1.23 75.00 -165.00 -131.06 -0.40 181.25
2.80 106.50 292.50 311.29 1.22 60.00 -165.00 -134.57 -0.36 175.57
2.83 108.50 287.50 307.29 1.21 45.00 -165.00 -138.57 -0.33 171.03
2.87 109.50 281.50 302.05 1.20 45.00 -180.00 -151.27 -0.36 185.54
2.90 111.50 275.50 297.21 1.19 45.00 -180.00 -150.13 -0.37 185.54
2.93 112.50 269.50 292.04 1.18 15.00 -180.00 -160.45 -0.28 180.62
2.97 112.50 263.50 286.51 1.17 0.00 -165.00 -151.79 -0.23 165.00
3.00 112.50 258.50 281.92 1.16 0.00 -165.00 -151.24 -0.23 165.00
3.03 112.50 252.50 276.43 1.15 0.00 -180.00 -164.41 -0.27 180.00
3.07 112.50 246.50 270.96 1.14 -30.00 -180.00 -176.36 -0.17 182.48
3.10 110.50 240.50 264.67 1.14 -45.00 -180.00 -182.29 -0.13 185.54
3.13 109.50 234.50 258.81 1.13 -60.00 -165.00 -174.95 -0.06 175.57
3.17 106.50 229.50 253.01 1.14 -75.00 -150.00 -167.64 0.02 167.71
3.20 104.50 224.50 247.63 1.14 -75.00 -150.00 -167.63 0.02 167.71
3.23 101.50 219.50 241.83 1.14 -90.00 -165.00 -187.55 0.05 187.95
3.27 98.50 213.50 235.13 1.14 -90.00 -150.00 -173.87 0.08 174.93
3.30 95.50 209.50 230.24 1.14 -120.00 -135.00 -172.44 0.23 180.62
3.33 90.50 204.50 223.63 1.15 -120.00 -135.00 -172.18 0.24 180.62
3.37 87.50 200.50 218.76 1.16 -120.00 -120.00 -157.71 0.29 169.71
3.40 82.50 196.50 213.12 1.17 -135.00 -105.00 -149.17 0.39 171.03
3.43 78.50 193.50 208.82 1.19 -135.00 -105.00 -147.92 0.41 171.03
3.47 73.50 189.50 203.25 1.20 -150.00 -90.00 -137.94 0.53 174.93
3.50 68.50 187.50 199.62 1.22 -165.00 -75.00 -126.84 0.65 181.25
3.53 62.50 184.50 194.80 1.24 -150.00 -75.00 -119.61 0.60 167.71
3.57 58.50 182.50 191.65 1.26 -165.00 -60.00 -106.43 0.73 175.57
3.60 51.50 180.50 187.70 1.29 -195.00 -45.00 -97.05 0.93 200.12
3.63 45.50 179.50 185.18 1.32 -165.00 -30.00 -70.00 0.82 167.71
3.67 40.50 178.50 183.04 1.35 -165.00 -30.00 -65.33 0.84 167.71
3.70 34.50 177.50 180.82 1.38 -180.00 -15.00 -48.95 0.96 180.62
3.73 28.50 177.50 179.77 1.41 -180.00 0.00 -28.52 0.99 180.00
3.77 22.50 177.50 178.92 1.44 -165.00 15.00 -6.27 0.92 165.68
3.80 17.50 178.50 179.36 1.47 465.00 2700.00 2738.41 -0.34 2739.75
3.83 53.50 357.50 361.48 1.42 -180.00 30.00 18.42 1.01 182.48
3.87 5.50 180.50 180.58 1.54 -795.00 -2610.00 -2669.70 2.19 2728.39
3.90 0.50 183.50 183.50 1.57 -165.00 75.00 74.97 0.90 181.25
3.93 -5.50 185.50 185.58 1.60 -165.00 60.00 64.40 0.88 175.57
3.97 -10.50 187.50 187.79 1.63 -150.00 75.00 83.22 0.77 167.71
4.00 -15.50 190.50 191.13 1.65 -135.00 90.00 100.29 0.67 162.25
4.03 -19.50 193.50 194.48 1.67 -135.00 105.00 118.26 0.63 171.03
4.07 -24.50 197.50 199.01 1.69 -150.00 120.00 137.52 0.67 192.09
4.10 -29.50 201.50 203.65 1.72 -135.00 135.00 152.79 0.56 190.92
4.13 -33.50 206.50 209.20 1.73 -105.00 135.00 149.90 0.39 171.03
4.17 -36.50 210.50 213.64 1.74 -105.00 135.00 151.09 0.37 171.03
4.20 -40.50 215.50 219.27 1.76 -105.00 150.00 166.63 0.35 183.10
